YYY;IRRRE;IRRRI;Value
2018;NO5;NO2;90076.59574
2018;NO5;NO3;138331.9149
2018;SE1;FIN;206425.5319
2018;SE1;NO4;134578.7234
2018;SE1;SE2;223046.8085
2018;SE2;NO3;180153.1915
2018;SE2;NO4;342076.5957
2018;SE2;SE1;223046.8085
2018;SE2;SE3;238595.7447
2018;SE3;DK1;313353.1915
2018;SE3;FIN;551540.4255
2018;SE3;NO1;144229.7872
2018;SE3;SE2;238595.7447
2018;SE3;SE4;160851.0638
2018;SE3;EE;457872.3404
2018;SE3;LV;446042.5532
2018;SE4;DK2;100305.3191
2018;SE4;DE4-E;244006.383
2018;SE4;DE4-N;313982.9787
2018;SE4;SE3;160851.0638
2018;SE4;LT;454485.1064
2018;SE4;PL;405744.6809
2018;UK;DK1;626348.9362
2018;UK;NL;112125
2018;UK;NO2;112700
2018;UK;BE;148702.5
2018;UK;FR;512170.2128
2018;EE;FIN;380323.4043
2018;EE;SE3;457872.3404
2018;EE;LV;93073.40426
2018;LV;SE3;446042.5532
2018;LV;EE;93073.40426
2018;LV;LT;113148.9362
2018;LT;SE4;454485.1064
2018;LT;LV;113148.9362
2018;LT;PL;333685.1064
2018;PL;DE4-E;191092.5532
2018;PL;SE4;405744.6809
2018;PL;LT;333685.1064
2018;PL;CZ;169330.8511
2018;BE;DE4-S;139871.0106
2018;BE;DE4-W;98392.02128
2018;BE;NL;95825.10638
2018;BE;UK;148702.5
2018;BE;FR;129600
2018;FR;DE4-S;297091.2766
2018;FR;UK;512170.2128
2018;FR;BE;129600
2018;FR;IT;482553.1915
2018;FR;CH;302507.234
2018;FR;ES;530010.5745
2018;IT;FR;482553.1915
2018;IT;CH;213842.5532
2018;IT;AT;189360.6383
2018;CH;DE4-S;71768.29787
2018;CH;FR;302507.234
2018;CH;IT;213842.5532
2018;CH;AT;294035.7447
2018;AT;DE4-S;82345.21277
2018;AT;IT;189360.6383
2018;AT;CH;294035.7447
2018;AT;CZ;87486.70213
2018;CZ;DE4-E;180153.1915
2018;CZ;DE4-S;208034.0426
2018;CZ;PL;169330.8511
2018;CZ;AT;87486.70213
2018;ES;FR;530010.5745
2018;ES;PT;105520.2128
2018;PT;ES;105520.2128
2019;DK1;DK2;47703.19149
2019;DK1;DE4-N;58014.89362
2019;DK1;NL;84700
2019;DK1;NO2;236519.1489
2019;DK1;SE3;313353.1915
2019;DK1;UK;626348.9362
2019;DK2;DK1;47703.19149
2019;DK2;DE4-E;132052.1277
2019;DK2;SE4;100305.3191
2019;FIN;NO4;314731.9149
2019;FIN;SE1;206425.5319
2019;FIN;SE3;551540.4255
2019;FIN;EE;380323.4043
2019;DE4-E;DK2;132052.1277
2019;DE4-E;DE4-N;151736.1702
2019;DE4-E;DE4-S;59700
2019;DE4-E;DE4-W;94348.40426
2019;DE4-E;SE4;244006.383
2019;DE4-E;PL;191092.5532
2019;DE4-E;CZ;180153.1915
2019;DE4-N;DK1;58014.89362
2019;DE4-N;DE4-E;151736.1702
2019;DE4-N;DE4-W;49606.2766
2019;DE4-N;NO2;100450
2019;DE4-N;SE4;313982.9787
2019;DE4-S;DE4-E;59700
2019;DE4-S;DE4-W;74420.42553
2019;DE4-S;BE;139871.0106
2019;DE4-S;FR;297091.2766
2019;DE4-S;CH;71768.29787
2019;DE4-S;AT;82345.21277
2019;DE4-S;CZ;208034.0426
2019;DE4-W;DE4-E;94348.40426
2019;DE4-W;DE4-N;49606.2766
2019;DE4-W;DE4-S;74420.42553
2019;DE4-W;NL;111523.4043
2019;DE4-W;BE;98392.02128
2019;NL;DK1;84700
2019;NL;DE4-W;111523.4043
2019;NL;UK;112125
2019;NL;BE;95825.10638
2019;NO1;NO2;127608.5106
2019;NO1;NO3;126536.1702
2019;NO1;NO5;105625.5319
2019;NO1;SE3;144229.7872
2019;NO2;DK1;236519.1489
2019;NO2;DE4-N;100450
2019;NO2;NO1;127608.5106
2019;NO2;NO5;90076.59574
2019;NO2;UK;112700
2019;NO3;NO1;126536.1702
2019;NO3;NO4;438587.234
2019;NO3;NO5;138331.9149
2019;NO3;SE2;180153.1915
2019;NO4;FIN;314731.9149
2019;NO4;NO3;438587.234
2019;NO4;SE1;134578.7234
2019;NO4;SE2;342076.5957
2019;NO5;NO1;105625.5319
2019;NO5;NO2;90076.59574
2019;NO5;NO3;138331.9149
2019;SE1;FIN;206425.5319
2019;SE1;NO4;134578.7234
2019;SE1;SE2;223046.8085
2019;SE2;NO3;180153.1915
2019;SE2;NO4;342076.5957
2019;SE2;SE1;223046.8085
2019;SE2;SE3;238595.7447
2019;SE3;DK1;313353.1915
2019;SE3;FIN;551540.4255
2019;SE3;NO1;144229.7872
2019;SE3;SE2;238595.7447
2019;SE3;SE4;160851.0638
2019;SE3;EE;457872.3404
2019;SE3;LV;446042.5532
2019;SE4;DK2;100305.3191
2019;SE4;DE4-E;244006.383
2019;SE4;DE4-N;313982.9787
2019;SE4;SE3;160851.0638
2019;SE4;LT;454485.1064
2019;SE4;PL;405744.6809
2019;UK;DK1;626348.9362
2019;UK;NL;112125
2019;UK;NO2;112700
2019;UK;BE;148702.5
2019;UK;FR;512170.2128
2019;EE;FIN;380323.4043
2019;EE;SE3;457872.3404
2019;EE;LV;93073.40426
2019;LV;SE3;446042.5532
2019;LV;EE;93073.40426
2019;LV;LT;113148.9362
2019;LT;SE4;454485.1064
2019;LT;LV;113148.9362
2019;LT;PL;333685.1064
2019;PL;DE4-E;191092.5532
2019;PL;SE4;405744.6809
2019;PL;LT;333685.1064
2019;PL;CZ;169330.8511
2019;BE;DE4-S;139871.0106
2019;BE;DE4-W;98392.02128
2019;BE;NL;95825.10638
2019;BE;UK;148702.5
2019;BE;FR;129600
2019;FR;DE4-S;297091.2766
2019;FR;UK;512170.2128
2019;FR;BE;129600
2019;FR;IT;482553.1915
2019;FR;CH;302507.234
2019;FR;ES;530010.5745
2019;IT;FR;482553.1915
2019;IT;CH;213842.5532
2019;IT;AT;189360.6383
2019;CH;DE4-S;71768.29787
2019;CH;FR;302507.234
2019;CH;IT;213842.5532
2019;CH;AT;294035.7447
2019;AT;DE4-S;82345.21277
2019;AT;IT;189360.6383
2019;AT;CH;294035.7447
2019;AT;CZ;87486.70213
2019;CZ;DE4-E;180153.1915
2019;CZ;DE4-S;208034.0426
2019;CZ;PL;169330.8511
2019;CZ;AT;87486.70213
2019;ES;FR;530010.5745
2019;ES;PT;105520.2128
2019;PT;ES;105520.2128
2020;DK1;DK2;47703.19149
2020;DK1;DE4-N;58014.89362
2020;DK1;NL;84700
2020;DK1;NO2;236519.1489
2020;DK1;SE3;313353.1915
2020;DK1;UK;626348.9362
2020;DK2;DK1;47703.19149
2020;DK2;DE4-E;132052.1277
2020;DK2;SE4;100305.3191
2020;FIN;NO4;314731.9149
2020;FIN;SE1;206425.5319
2020;FIN;SE3;551540.4255
2020;FIN;EE;380323.4043
2020;DE4-E;DK2;132052.1277
2020;DE4-E;DE4-N;151736.1702
2020;DE4-E;DE4-S;59700
2020;DE4-E;DE4-W;94348.40426
2020;DE4-E;SE4;244006.383
2020;DE4-E;PL;191092.5532
2020;DE4-E;CZ;180153.1915
2020;DE4-N;DK1;58014.89362
2020;DE4-N;DE4-E;151736.1702
2020;DE4-N;DE4-W;49606.2766
2020;DE4-N;NO2;100450
2020;DE4-N;SE4;313982.9787
2020;DE4-S;DE4-E;59700
2020;DE4-S;DE4-W;74420.42553
2020;DE4-S;BE;139871.0106
2020;DE4-S;FR;297091.2766
2020;DE4-S;CH;71768.29787
2020;DE4-S;AT;82345.21277
2020;DE4-S;CZ;208034.0426
2020;DE4-W;DE4-E;94348.40426
2020;DE4-W;DE4-N;49606.2766
2020;DE4-W;DE4-S;74420.42553
2020;DE4-W;NL;111523.4043
2020;DE4-W;BE;98392.02128
2020;NL;DK1;84700
2020;NL;DE4-W;111523.4043
2020;NL;UK;112125
2020;NL;BE;95825.10638
2020;NO1;NO2;127608.5106
2020;NO1;NO3;126536.1702
2020;NO1;NO5;105625.5319
2020;NO1;SE3;144229.7872
2020;NO2;DK1;236519.1489
2020;NO2;DE4-N;100450
2020;NO2;NO1;127608.5106
2020;NO2;NO5;90076.59574
2020;NO2;UK;112700
2020;NO3;NO1;126536.1702
2020;NO3;NO4;438587.234
2020;NO3;NO5;138331.9149
2020;NO3;SE2;180153.1915
2020;NO4;FIN;314731.9149
2020;NO4;NO3;438587.234
2020;NO4;SE1;134578.7234
2020;NO4;SE2;342076.5957
2020;NO5;NO1;105625.5319
2020;NO5;NO2;90076.59574
2020;NO5;NO3;138331.9149
2020;SE1;FIN;206425.5319
2020;SE1;NO4;134578.7234
2020;SE1;SE2;223046.8085
2020;SE2;NO3;180153.1915
2020;SE2;NO4;342076.5957
2020;SE2;SE1;223046.8085
2020;SE2;SE3;238595.7447
2020;SE3;DK1;313353.1915
2020;SE3;FIN;551540.4255
2020;SE3;NO1;144229.7872
2020;SE3;SE2;238595.7447
2020;SE3;SE4;160851.0638
2020;SE3;EE;457872.3404
2020;SE3;LV;446042.5532
2020;SE4;DK2;100305.3191
2020;SE4;DE4-E;244006.383
2020;SE4;DE4-N;313982.9787
2020;SE4;SE3;160851.0638
2020;SE4;LT;454485.1064
2020;SE4;PL;405744.6809
2020;UK;DK1;626348.9362
2020;UK;NL;112125
2020;UK;NO2;112700
2020;UK;BE;148702.5
2020;UK;FR;512170.2128
2020;EE;FIN;380323.4043
2020;EE;SE3;457872.3404
2020;EE;LV;93073.40426
2020;LV;SE3;446042.5532
2020;LV;EE;93073.40426
2020;LV;LT;113148.9362
2020;LT;SE4;454485.1064
2020;LT;LV;113148.9362
2020;LT;PL;333685.1064
2020;PL;DE4-E;191092.5532
2020;PL;SE4;405744.6809
2020;PL;LT;333685.1064
2020;PL;CZ;169330.8511
2020;BE;DE4-S;139871.0106
2020;BE;DE4-W;98392.02128
2020;BE;NL;95825.10638
2020;BE;UK;148702.5
2020;BE;FR;129600
2020;FR;DE4-S;297091.2766
2020;FR;UK;512170.2128
2020;FR;BE;129600
2020;FR;IT;482553.1915
2020;FR;CH;302507.234
2020;FR;ES;530010.5745
2020;IT;FR;482553.1915
2020;IT;CH;213842.5532
2020;IT;AT;189360.6383
2020;CH;DE4-S;71768.29787
2020;CH;FR;302507.234
2020;CH;IT;213842.5532
2020;CH;AT;294035.7447
2020;AT;DE4-S;82345.21277
2020;AT;IT;189360.6383
2020;AT;CH;294035.7447
2020;AT;CZ;87486.70213
2020;CZ;DE4-E;180153.1915
2020;CZ;DE4-S;208034.0426
2020;CZ;PL;169330.8511
2020;CZ;AT;87486.70213
2020;ES;FR;530010.5745
2020;ES;PT;105520.2128
2020;PT;ES;105520.2128
2021;DK1;DK2;47703.19149
2021;DK1;DE4-N;58014.89362
2021;DK1;NL;84700
2021;DK1;NO2;236519.1489
2021;DK1;SE3;313353.1915
2021;DK1;UK;626348.9362
2021;DK2;DK1;47703.19149
2021;DK2;DE4-E;132052.1277
2021;DK2;SE4;100305.3191
2021;FIN;NO4;314731.9149
2021;FIN;SE1;206425.5319
2021;FIN;SE3;551540.4255
2021;FIN;EE;380323.4043
2021;DE4-E;DK2;132052.1277
2021;DE4-E;DE4-N;151736.1702
2021;DE4-E;DE4-S;59700
2021;DE4-E;DE4-W;94348.40426
2021;DE4-E;SE4;244006.383
2021;DE4-E;PL;191092.5532
2021;DE4-E;CZ;180153.1915
2021;DE4-N;DK1;58014.89362
2021;DE4-N;DE4-E;151736.1702
2021;DE4-N;DE4-W;49606.2766
2021;DE4-N;NO2;100450
2021;DE4-N;SE4;313982.9787
2021;DE4-S;DE4-E;59700
2021;DE4-S;DE4-W;74420.42553
2021;DE4-S;BE;139871.0106
2021;DE4-S;FR;297091.2766
2021;DE4-S;CH;71768.29787
2021;DE4-S;AT;82345.21277
2021;DE4-S;CZ;208034.0426
2021;DE4-W;DE4-E;94348.40426
2021;DE4-W;DE4-N;49606.2766
2021;DE4-W;DE4-S;74420.42553
2021;DE4-W;NL;111523.4043
2021;DE4-W;BE;98392.02128
2021;NL;DK1;84700
2021;NL;DE4-W;111523.4043
2021;NL;UK;112125
2021;NL;BE;95825.10638
2021;NO1;NO2;127608.5106
2021;NO1;NO3;126536.1702
2021;NO1;NO5;105625.5319
2021;NO1;SE3;144229.7872
2021;NO2;DK1;236519.1489
2021;NO2;DE4-N;100450
2021;NO2;NO1;127608.5106
2021;NO2;NO5;90076.59574
2021;NO2;UK;112700
2021;NO3;NO1;126536.1702
2021;NO3;NO4;438587.234
2021;NO3;NO5;138331.9149
2021;NO3;SE2;180153.1915
2021;NO4;FIN;314731.9149
2021;NO4;NO3;438587.234
2021;NO4;SE1;134578.7234
2021;NO4;SE2;342076.5957
2021;NO5;NO1;105625.5319
2021;NO5;NO2;90076.59574
2021;NO5;NO3;138331.9149
2021;SE1;FIN;206425.5319
2021;SE1;NO4;134578.7234
2021;SE1;SE2;223046.8085
2021;SE2;NO3;180153.1915
2021;SE2;NO4;342076.5957
2021;SE2;SE1;223046.8085
2021;SE2;SE3;238595.7447
2021;SE3;DK1;313353.1915
2021;SE3;FIN;551540.4255
2021;SE3;NO1;144229.7872
2021;SE3;SE2;238595.7447
2021;SE3;SE4;160851.0638
2021;SE3;EE;457872.3404
2021;SE3;LV;446042.5532
2021;SE4;DK2;100305.3191
2021;SE4;DE4-E;244006.383
2021;SE4;DE4-N;313982.9787
2021;SE4;SE3;160851.0638
2021;SE4;LT;454485.1064
2021;SE4;PL;405744.6809
2021;UK;DK1;626348.9362
2021;UK;NL;112125
2021;UK;NO2;112700
2021;UK;BE;148702.5
2021;UK;FR;512170.2128
2021;EE;FIN;380323.4043
2021;EE;SE3;457872.3404
2021;EE;LV;93073.40426
2021;LV;SE3;446042.5532
2021;LV;EE;93073.40426
2021;LV;LT;113148.9362
2021;LT;SE4;454485.1064
2021;LT;LV;113148.9362
2021;LT;PL;333685.1064
2021;PL;DE4-E;191092.5532
2021;PL;SE4;405744.6809
2021;PL;LT;333685.1064
2021;PL;CZ;169330.8511
2021;BE;DE4-S;139871.0106
2021;BE;DE4-W;98392.02128
2021;BE;NL;95825.10638
2021;BE;UK;148702.5
2021;BE;FR;129600
2021;FR;DE4-S;297091.2766
2021;FR;UK;512170.2128
2021;FR;BE;129600
2021;FR;IT;482553.1915
2021;FR;CH;302507.234
2021;FR;ES;530010.5745
2021;IT;FR;482553.1915
2021;IT;CH;213842.5532
2021;IT;AT;189360.6383
2021;CH;DE4-S;71768.29787
2021;CH;FR;302507.234
2021;CH;IT;213842.5532
2021;CH;AT;294035.7447
2021;AT;DE4-S;82345.21277
2021;AT;IT;189360.6383
2021;AT;CH;294035.7447
2021;AT;CZ;87486.70213
2021;CZ;DE4-E;180153.1915
2021;CZ;DE4-S;208034.0426
2021;CZ;PL;169330.8511
2021;CZ;AT;87486.70213
2021;ES;FR;530010.5745
2021;ES;PT;105520.2128
2021;PT;ES;105520.2128
2022;DK1;DK2;47703.19149
2022;DK1;DE4-N;58014.89362
2022;DK1;NL;84700
2022;DK1;NO2;236519.1489
2022;DK1;SE3;313353.1915
2022;DK1;UK;626348.9362
2022;DK2;DK1;47703.19149
2022;DK2;DE4-E;132052.1277
2022;DK2;SE4;100305.3191
2022;FIN;NO4;314731.9149
2022;FIN;SE1;206425.5319
2022;FIN;SE3;551540.4255
2022;FIN;EE;380323.4043
2022;DE4-E;DK2;132052.1277
2022;DE4-E;DE4-N;151736.1702
2022;DE4-E;DE4-S;59700
2022;DE4-E;DE4-W;94348.40426
2022;DE4-E;SE4;244006.383
2022;DE4-E;PL;191092.5532
2022;DE4-E;CZ;180153.1915
2022;DE4-N;DK1;58014.89362
2022;DE4-N;DE4-E;151736.1702
2022;DE4-N;DE4-W;49606.2766
2022;DE4-N;NO2;100450
2022;DE4-N;SE4;313982.9787
2022;DE4-S;DE4-E;59700
2022;DE4-S;DE4-W;74420.42553
2022;DE4-S;BE;139871.0106
2022;DE4-S;FR;297091.2766
2022;DE4-S;CH;71768.29787
2022;DE4-S;AT;82345.21277
2022;DE4-S;CZ;208034.0426
2022;DE4-W;DE4-E;94348.40426
2022;DE4-W;DE4-N;49606.2766
2022;DE4-W;DE4-S;74420.42553
