CCCRRRAAA;TECH_GROUP;SUBTECH_GROUP;Value
CZ;WINDTURBINE_ONSHORE;RG1;1884.6
EE;WINDTURBINE_ONSHORE;RG1;1840
NO1;WINDTURBINE_ONSHORE;RG3;1755.451713
IT;WINDTURBINE_OFFSHORE;RG1_OFF1;0
IT;WINDTURBINE_OFFSHORE;RG2_OFF1;10000
IT;WINDTURBINE_OFFSHORE;RG3_OFF1;0
IT;WINDTURBINE_OFFSHORE;RG1_OFF2;0
IT;WINDTURBINE_OFFSHORE;RG2_OFF2;0
IT;WINDTURBINE_OFFSHORE;RG3_OFF2;0
IT;WINDTURBINE_OFFSHORE;RG1_OFF3;0
IT;WINDTURBINE_OFFSHORE;RG2_OFF3;0
IT;WINDTURBINE_OFFSHORE;RG3_OFF3;0
IT;WINDTURBINE_OFFSHORE;RG1_OFF4;0
IT;WINDTURBINE_OFFSHORE;RG2_OFF4;0
IT;WINDTURBINE_OFFSHORE;RG3_OFF4;0
IT;WINDTURBINE_OFFSHORE;RG1_OFF5;0
IT;WINDTURBINE_OFFSHORE;RG2_OFF5;0
IT;WINDTURBINE_OFFSHORE;RG3_OFF5;0
CH;SOLARPV;RG1;10000.53184
CH;SOLARPV;RG2;48494.53184
CH;SOLARPV;RG3;0
BG;WINDTURBINE_ONSHORE;RG3;1700
SE4;WINDTURBINE_ONSHORE;RG2;1613.363363
FIN;WINDTURBINE_ONSHORE;RG1;1500
AT;SOLARPV;RG1;31471.4625
AT;SOLARPV;RG2;31471.4625
AT;SOLARPV;RG3;0
NO1;WINDTURBINE_ONSHORE;RG2;1404.361371
BG;WINDTURBINE_ONSHORE;RG2;1360
NO2;WINDTURBINE_ONSHORE;RG3;1264.797508
CZ;SOLARPV;RG1;10000.275
CZ;SOLARPV;RG2;49420.275
CZ;SOLARPV;RG3;0
GR;WINDTURBINE_ONSHORE;RG1;1152.520325
SE2;WINDTURBINE_ONSHORE;RG1;1103.603604
SE3;WINDTURBINE_ONSHORE;RG1;1099.662162
ES;SOLARPV;RG1;32136.78449
ES;SOLARPV;RG2;96410.35348
ES;SOLARPV;RG3;190820.707
SK;WINDTURBINE_ONSHORE;RG3;1050
NL;WINDTURBINE_ONSHORE;RG1;1030
NO2;WINDTURBINE_ONSHORE;RG2;1011.838006
ES;WINDTURBINE_OFFSHORE;RG1_OFF1;0
ES;WINDTURBINE_OFFSHORE;RG2_OFF1;10000
ES;WINDTURBINE_OFFSHORE;RG3_OFF1;0
ES;WINDTURBINE_OFFSHORE;RG1_OFF2;0
ES;WINDTURBINE_OFFSHORE;RG2_OFF2;0
ES;WINDTURBINE_OFFSHORE;RG3_OFF2;0
ES;WINDTURBINE_OFFSHORE;RG1_OFF3;0
ES;WINDTURBINE_OFFSHORE;RG2_OFF3;0
ES;WINDTURBINE_OFFSHORE;RG3_OFF3;0
ES;WINDTURBINE_OFFSHORE;RG1_OFF4;0
ES;WINDTURBINE_OFFSHORE;RG2_OFF4;0
ES;WINDTURBINE_OFFSHORE;RG3_OFF4;0
ES;WINDTURBINE_OFFSHORE;RG1_OFF5;0
ES;WINDTURBINE_OFFSHORE;RG2_OFF5;0
ES;WINDTURBINE_OFFSHORE;RG3_OFF5;0
PT;SOLARPV;RG1;12680.61219
PT;SOLARPV;RG2;28680.61219
PT;SOLARPV;RG3;0
AL;WINDTURBINE_ONSHORE;RG3;1000
BA;WINDTURBINE_ONSHORE;RG3;1000
AT;WINDTURBINE_ONSHORE;RG1;965.1
PT;WINDTURBINE_OFFSHORE;RG1_OFF1;0
PT;WINDTURBINE_OFFSHORE;RG2_OFF1;10000
PT;WINDTURBINE_OFFSHORE;RG3_OFF1;0
PT;WINDTURBINE_OFFSHORE;RG1_OFF2;0
PT;WINDTURBINE_OFFSHORE;RG2_OFF2;0
PT;WINDTURBINE_OFFSHORE;RG3_OFF2;0
PT;WINDTURBINE_OFFSHORE;RG1_OFF3;0
PT;WINDTURBINE_OFFSHORE;RG2_OFF3;0
PT;WINDTURBINE_OFFSHORE;RG3_OFF3;0
PT;WINDTURBINE_OFFSHORE;RG1_OFF4;0
PT;WINDTURBINE_OFFSHORE;RG2_OFF4;0
PT;WINDTURBINE_OFFSHORE;RG3_OFF4;0
PT;WINDTURBINE_OFFSHORE;RG1_OFF5;0
PT;WINDTURBINE_OFFSHORE;RG2_OFF5;0
PT;WINDTURBINE_OFFSHORE;RG3_OFF5;0
SK;SOLARPV;RG1;22950
SK;SOLARPV;RG2;22950
SK;SOLARPV;RG3;0
NO3;WINDTURBINE_ONSHORE;RG3;932.2429907
SE1;WINDTURBINE_ONSHORE;RG1;893.3933934
BE;WINDTURBINE_ONSHORE;RG1;890
HU;SOLARPV;RG1;30200
HU;SOLARPV;RG2;43200
HU;SOLARPV;RG3;0
SK;WINDTURBINE_ONSHORE;RG2;840
AL;WINDTURBINE_ONSHORE;RG2;800
BA;WINDTURBINE_ONSHORE;RG2;800
SI;SOLARPV;RG1;7600
SI;SOLARPV;RG2;9600
SI;SOLARPV;RG3;0
DK2;WINDTURBINE_ONSHORE;RG2;775.0865052
NO3;WINDTURBINE_ONSHORE;RG2;745.7943925
HR;WINDTURBINE_ONSHORE;RG1;690
HR;SOLARPV;RG1;15700
HR;SOLARPV;RG2;26700
HR;SOLARPV;RG3;0
DK1;WINDTURBINE_ONSHORE;RG1;606.2283737
NO4;WINDTURBINE_ONSHORE;RG1;559.3457944
CH;WINDTURBINE_ONSHORE;RG3;500
HR;WINDTURBINE_OFFSHORE;RG1_OFF1;0
HR;WINDTURBINE_OFFSHORE;RG2_OFF1;3998
HR;WINDTURBINE_OFFSHORE;RG3_OFF1;0
HR;WINDTURBINE_OFFSHORE;RG1_OFF2;0
HR;WINDTURBINE_OFFSHORE;RG2_OFF2;0
HR;WINDTURBINE_OFFSHORE;RG3_OFF2;0
HR;WINDTURBINE_OFFSHORE;RG1_OFF3;0
HR;WINDTURBINE_OFFSHORE;RG2_OFF3;0
HR;WINDTURBINE_OFFSHORE;RG3_OFF3;0
HR;WINDTURBINE_OFFSHORE;RG1_OFF4;0
HR;WINDTURBINE_OFFSHORE;RG2_OFF4;0
HR;WINDTURBINE_OFFSHORE;RG3_OFF4;0
HR;WINDTURBINE_OFFSHORE;RG1_OFF5;0
HR;WINDTURBINE_OFFSHORE;RG2_OFF5;0
HR;WINDTURBINE_OFFSHORE;RG3_OFF5;0
RO;SOLARPV;RG1;40000
RO;SOLARPV;RG2;103600
RO;SOLARPV;RG3;0
DE4-N;WINDTURBINE_ONSHORE;RG1;477.6506819
SE4;WINDTURBINE_ONSHORE;RG1;403.3408408
CH;WINDTURBINE_ONSHORE;RG2;400
RO;WINDTURBINE_OFFSHORE;RG1_OFF1;0
RO;WINDTURBINE_OFFSHORE;RG2_OFF1;22420
RO;WINDTURBINE_OFFSHORE;RG3_OFF1;0
RO;WINDTURBINE_OFFSHORE;RG1_OFF2;0
RO;WINDTURBINE_OFFSHORE;RG2_OFF2;0
RO;WINDTURBINE_OFFSHORE;RG3_OFF2;0
RO;WINDTURBINE_OFFSHORE;RG1_OFF3;0
RO;WINDTURBINE_OFFSHORE;RG2_OFF3;0
RO;WINDTURBINE_OFFSHORE;RG3_OFF3;0
RO;WINDTURBINE_OFFSHORE;RG1_OFF4;0
RO;WINDTURBINE_OFFSHORE;RG2_OFF4;0
RO;WINDTURBINE_OFFSHORE;RG3_OFF4;0
RO;WINDTURBINE_OFFSHORE;RG1_OFF5;0
RO;WINDTURBINE_OFFSHORE;RG2_OFF5;0
RO;WINDTURBINE_OFFSHORE;RG3_OFF5;0
BG;SOLARPV;RG1;41800
BG;SOLARPV;RG2;51800
BG;SOLARPV;RG3;0
NO1;WINDTURBINE_ONSHORE;RG1;351.0903427
BG;WINDTURBINE_ONSHORE;RG1;340
LU;WINDTURBINE_ONSHORE;RG3;330.5803338
BG;WINDTURBINE_OFFSHORE;RG1_OFF1;0
BG;WINDTURBINE_OFFSHORE;RG2_OFF1;2103
BG;WINDTURBINE_OFFSHORE;RG3_OFF1;0
BG;WINDTURBINE_OFFSHORE;RG1_OFF2;0
BG;WINDTURBINE_OFFSHORE;RG2_OFF2;0
BG;WINDTURBINE_OFFSHORE;RG3_OFF2;0
BG;WINDTURBINE_OFFSHORE;RG1_OFF3;0
BG;WINDTURBINE_OFFSHORE;RG2_OFF3;0
BG;WINDTURBINE_OFFSHORE;RG3_OFF3;0
BG;WINDTURBINE_OFFSHORE;RG1_OFF4;0
BG;WINDTURBINE_OFFSHORE;RG2_OFF4;0
BG;WINDTURBINE_OFFSHORE;RG3_OFF4;0
BG;WINDTURBINE_OFFSHORE;RG1_OFF5;0
BG;WINDTURBINE_OFFSHORE;RG2_OFF5;0
BG;WINDTURBINE_OFFSHORE;RG3_OFF5;0
GR;SOLARPV;RG1;40000
GR;SOLARPV;RG2;66000
GR;SOLARPV;RG3;0
HU;WINDTURBINE_ONSHORE;RG3;300
SI;WINDTURBINE_ONSHORE;RG3;300
LU;WINDTURBINE_ONSHORE;RG2;264.464267
GR;WINDTURBINE_OFFSHORE;RG1_OFF1;0
GR;WINDTURBINE_OFFSHORE;RG2_OFF1;9596
GR;WINDTURBINE_OFFSHORE;RG3_OFF1;0
GR;WINDTURBINE_OFFSHORE;RG1_OFF2;0
GR;WINDTURBINE_OFFSHORE;RG2_OFF2;0
GR;WINDTURBINE_OFFSHORE;RG3_OFF2;0
GR;WINDTURBINE_OFFSHORE;RG1_OFF3;0
GR;WINDTURBINE_OFFSHORE;RG2_OFF3;0
GR;WINDTURBINE_OFFSHORE;RG3_OFF3;0
GR;WINDTURBINE_OFFSHORE;RG1_OFF4;0
GR;WINDTURBINE_OFFSHORE;RG2_OFF4;0
GR;WINDTURBINE_OFFSHORE;RG3_OFF4;0
GR;WINDTURBINE_OFFSHORE;RG1_OFF5;0
GR;WINDTURBINE_OFFSHORE;RG2_OFF5;0
GR;WINDTURBINE_OFFSHORE;RG3_OFF5;0
IE;SOLARPV;RG1;15333.33333
IE;SOLARPV;RG2;15333.33333
IE;SOLARPV;RG3;0
NO2;WINDTURBINE_ONSHORE;RG1;252.9595016
NO5;WINDTURBINE_ONSHORE;RG3;250.7788162
HU;WINDTURBINE_ONSHORE;RG2;240
IE;WINDTURBINE_OFFSHORE;RG1_OFF1;0
IE;WINDTURBINE_OFFSHORE;RG2_OFF1;20611
IE;WINDTURBINE_OFFSHORE;RG3_OFF1;0
IE;WINDTURBINE_OFFSHORE;RG1_OFF2;0
IE;WINDTURBINE_OFFSHORE;RG2_OFF2;0
IE;WINDTURBINE_OFFSHORE;RG3_OFF2;0
IE;WINDTURBINE_OFFSHORE;RG1_OFF3;0
IE;WINDTURBINE_OFFSHORE;RG2_OFF3;0
IE;WINDTURBINE_OFFSHORE;RG3_OFF3;0
IE;WINDTURBINE_OFFSHORE;RG1_OFF4;0
IE;WINDTURBINE_OFFSHORE;RG2_OFF4;0
IE;WINDTURBINE_OFFSHORE;RG3_OFF4;0
IE;WINDTURBINE_OFFSHORE;RG1_OFF5;0
IE;WINDTURBINE_OFFSHORE;RG2_OFF5;0
IE;WINDTURBINE_OFFSHORE;RG3_OFF5;0
LU;SOLARPV;RG1;500
LU;SOLARPV;RG2;500
LU;SOLARPV;RG3;0
SI;WINDTURBINE_ONSHORE;RG2;240
SK;WINDTURBINE_ONSHORE;RG1;210
NO5;WINDTURBINE_ONSHORE;RG2;200.623053
AL;SOLARPV;RG1;9000
AL;SOLARPV;RG2;13000
AL;SOLARPV;RG3;0
AL;WINDTURBINE_ONSHORE;RG1;200
ME;WINDTURBINE_ONSHORE;RG3;200
MK;WINDTURBINE_ONSHORE;RG3;200
AL;WINDTURBINE_OFFSHORE;RG1_OFF1;0
AL;WINDTURBINE_OFFSHORE;RG2_OFF1;0
AL;WINDTURBINE_OFFSHORE;RG3_OFF1;0
AL;WINDTURBINE_OFFSHORE;RG1_OFF2;0
AL;WINDTURBINE_OFFSHORE;RG2_OFF2;0
AL;WINDTURBINE_OFFSHORE;RG3_OFF2;0
AL;WINDTURBINE_OFFSHORE;RG1_OFF3;0
AL;WINDTURBINE_OFFSHORE;RG2_OFF3;0
AL;WINDTURBINE_OFFSHORE;RG3_OFF3;0
AL;WINDTURBINE_OFFSHORE;RG1_OFF4;0
AL;WINDTURBINE_OFFSHORE;RG2_OFF4;0
AL;WINDTURBINE_OFFSHORE;RG3_OFF4;0
AL;WINDTURBINE_OFFSHORE;RG1_OFF5;0
AL;WINDTURBINE_OFFSHORE;RG2_OFF5;0
AL;WINDTURBINE_OFFSHORE;RG3_OFF5;0
ME;SOLARPV;RG1;5400
ME;SOLARPV;RG2;6400
ME;SOLARPV;RG3;0
BA;WINDTURBINE_ONSHORE;RG1;200
RS;WINDTURBINE_ONSHORE;RG3;200
DK2;WINDTURBINE_ONSHORE;RG1;193.7716263
ME;WINDTURBINE_OFFSHORE;RG1_OFF1;0
ME;WINDTURBINE_OFFSHORE;RG2_OFF1;0
ME;WINDTURBINE_OFFSHORE;RG3_OFF1;0
ME;WINDTURBINE_OFFSHORE;RG1_OFF2;0
ME;WINDTURBINE_OFFSHORE;RG2_OFF2;0
ME;WINDTURBINE_OFFSHORE;RG3_OFF2;0
ME;WINDTURBINE_OFFSHORE;RG1_OFF3;0
ME;WINDTURBINE_OFFSHORE;RG2_OFF3;0
ME;WINDTURBINE_OFFSHORE;RG3_OFF3;0
ME;WINDTURBINE_OFFSHORE;RG1_OFF4;0
ME;WINDTURBINE_OFFSHORE;RG2_OFF4;0
ME;WINDTURBINE_OFFSHORE;RG3_OFF4;0
ME;WINDTURBINE_OFFSHORE;RG1_OFF5;0
ME;WINDTURBINE_OFFSHORE;RG2_OFF5;0
ME;WINDTURBINE_OFFSHORE;RG3_OFF5;0
MK;SOLARPV;RG1;8500
MK;SOLARPV;RG2;12000
MK;SOLARPV;RG3;0
NO3;WINDTURBINE_ONSHORE;RG1;186.4485981
ME;WINDTURBINE_ONSHORE;RG2;160
MK;WINDTURBINE_ONSHORE;RG2;160
BA;SOLARPV;RG1;12000
BA;SOLARPV;RG2;24350
BA;SOLARPV;RG3;0
RS;WINDTURBINE_ONSHORE;RG2;160
CH;WINDTURBINE_ONSHORE;RG1;100
LU;WINDTURBINE_ONSHORE;RG1;66.11606676
RS;SOLARPV;RG1;500
RS;SOLARPV;RG2;500
RS;SOLARPV;RG3;0
HU;WINDTURBINE_ONSHORE;RG1;60
SI;WINDTURBINE_ONSHORE;RG1;60
NO5;WINDTURBINE_ONSHORE;RG1;50.15576324
TR;SOLARPV;RG1;38715
TR;SOLARPV;RG2;116145
TR;SOLARPV;RG3;232290
ME;WINDTURBINE_ONSHORE;RG1;40
MK;WINDTURBINE_ONSHORE;RG1;40
RS;WINDTURBINE_ONSHORE;RG1;40
TR;WINDTURBINE_OFFSHORE;RG1_OFF1;0
TR;WINDTURBINE_OFFSHORE;RG2_OFF1;12400
TR;WINDTURBINE_OFFSHORE;RG3_OFF1;0
TR;WINDTURBINE_OFFSHORE;RG1_OFF2;0
TR;WINDTURBINE_OFFSHORE;RG2_OFF2;0
TR;WINDTURBINE_OFFSHORE;RG3_OFF2;0
TR;WINDTURBINE_OFFSHORE;RG1_OFF3;0
TR;WINDTURBINE_OFFSHORE;RG2_OFF3;0
TR;WINDTURBINE_OFFSHORE;RG3_OFF3;0
TR;WINDTURBINE_OFFSHORE;RG1_OFF4;0
TR;WINDTURBINE_OFFSHORE;RG2_OFF4;0
TR;WINDTURBINE_OFFSHORE;RG3_OFF4;0
TR;WINDTURBINE_OFFSHORE;RG1_OFF5;0
TR;WINDTURBINE_OFFSHORE;RG2_OFF5;0
TR;WINDTURBINE_OFFSHORE;RG3_OFF5;0
MT;SOLARPV;RG1;500
MT;SOLARPV;RG2;500
MT;SOLARPV;RG3;0
MT;WINDTURBINE_ONSHORE;RG1;0
MT;WINDTURBINE_ONSHORE;RG2;0
MT;WINDTURBINE_ONSHORE;RG3;0
MT;WINDTURBINE_OFFSHORE;RG1_OFF1;0
MT;WINDTURBINE_OFFSHORE;RG2_OFF1;0
MT;WINDTURBINE_OFFSHORE;RG3_OFF1;0
MT;WINDTURBINE_OFFSHORE;RG1_OFF2;0
MT;WINDTURBINE_OFFSHORE;RG2_OFF2;0
MT;WINDTURBINE_OFFSHORE;RG3_OFF2;0
MT;WINDTURBINE_OFFSHORE;RG1_OFF3;0
MT;WINDTURBINE_OFFSHORE;RG2_OFF3;0
MT;WINDTURBINE_OFFSHORE;RG3_OFF3;0
MT;WINDTURBINE_OFFSHORE;RG1_OFF4;0
MT;WINDTURBINE_OFFSHORE;RG2_OFF4;0
MT;WINDTURBINE_OFFSHORE;RG3_OFF4;0
MT;WINDTURBINE_OFFSHORE;RG1_OFF5;0
MT;WINDTURBINE_OFFSHORE;RG2_OFF5;0
MT;WINDTURBINE_OFFSHORE;RG3_OFF5;0
CY;SOLARPV;RG1;15000
CY;SOLARPV;RG2;5666.666667
CY;SOLARPV;RG3;0
CY;WINDTURBINE_ONSHORE;RG1;0
CY;WINDTURBINE_ONSHORE;RG2;0
CY;WINDTURBINE_ONSHORE;RG3;0
CY;WINDTURBINE_OFFSHORE;RG1_OFF1;0
CY;WINDTURBINE_OFFSHORE;RG2_OFF1;0
CY;WINDTURBINE_OFFSHORE;RG3_OFF1;0
CY;WINDTURBINE_OFFSHORE;RG1_OFF2;0
CY;WINDTURBINE_OFFSHORE;RG2_OFF2;0
CY;WINDTURBINE_OFFSHORE;RG3_OFF2;0
CY;WINDTURBINE_OFFSHORE;RG1_OFF3;0
CY;WINDTURBINE_OFFSHORE;RG2_OFF3;0
CY;WINDTURBINE_OFFSHORE;RG3_OFF3;0
CY;WINDTURBINE_OFFSHORE;RG1_OFF4;0
CY;WINDTURBINE_OFFSHORE;RG2_OFF4;0
CY;WINDTURBINE_OFFSHORE;RG3_OFF4;0
CY;WINDTURBINE_OFFSHORE;RG1_OFF5;0
CY;WINDTURBINE_OFFSHORE;RG2_OFF5;0
CY;WINDTURBINE_OFFSHORE;RG3_OFF5;0
