CCCRRRAAA;TECH_GROUP;SUBTECH_GROUP;Value
DE4-W;WINDTURBINE_OFFSHORE;RG2_OFF3;0
DE4-W;WINDTURBINE_OFFSHORE;RG3_OFF3;0
DE4-W;WINDTURBINE_OFFSHORE;RG1_OFF4;0
DE4-W;WINDTURBINE_OFFSHORE;RG2_OFF4;0
DE4-W;WINDTURBINE_OFFSHORE;RG3_OFF4;0
DE4-W;WINDTURBINE_OFFSHORE;RG1_OFF5;0
DE4-W;WINDTURBINE_OFFSHORE;RG2_OFF5;0
DE4-W;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NL;SOLARPV;RG1;24036.3
NL;SOLARPV;RG2;24036.3
NL;SOLARPV;RG3;0
UK;WINDTURBINE_ONSHORE;RG1;12000
PT;WINDTURBINE_ONSHORE;RG3;12000
LV;WINDTURBINE_ONSHORE;RG3;11650
NL;WINDTURBINE_OFFSHORE;RG1_OFF1;0
NL;WINDTURBINE_OFFSHORE;RG2_OFF1;631
NL;WINDTURBINE_OFFSHORE;RG3_OFF1;0
NL;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NL;WINDTURBINE_OFFSHORE;RG2_OFF2;67700
NL;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NL;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NL;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NL;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NL;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NL;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NL;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NL;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NL;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NO1;SOLARPV;RG1;2329.130033
NO1;SOLARPV;RG2;2329.130033
NO1;SOLARPV;RG3;0
DE4-S;WINDTURBINE_ONSHORE;RG2;11637.30752
TR;WINDTURBINE_ONSHORE;RG1;11400
LT;WINDTURBINE_ONSHORE;RG3;10700
NO1;WINDTURBINE_OFFSHORE;RG1_OFF1;0
NO1;WINDTURBINE_OFFSHORE;RG2_OFF1;0
NO1;WINDTURBINE_OFFSHORE;RG3_OFF1;0
NO1;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NO1;WINDTURBINE_OFFSHORE;RG2_OFF2;0
NO1;WINDTURBINE_OFFSHORE;RG3_OFF2;0
NO1;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NO1;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NO1;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NO1;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NO1;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NO1;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NO1;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NO1;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NO1;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NO2;SOLARPV;RG1;2329.130033
NO2;SOLARPV;RG2;2329.130033
NO2;SOLARPV;RG3;0
RO;WINDTURBINE_ONSHORE;RG3;10200
FR;WINDTURBINE_ONSHORE;RG1;10120
PT;WINDTURBINE_ONSHORE;RG2;9600
NO2;WINDTURBINE_OFFSHORE;RG1_OFF1;0
NO2;WINDTURBINE_OFFSHORE;RG2_OFF1;9355
NO2;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NO2;WINDTURBINE_OFFSHORE;RG2_OFF2;0
NO2;WINDTURBINE_OFFSHORE;RG3_OFF2;0
NO2;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NO2;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NO2;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NO2;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NO2;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NO2;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NO2;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NO2;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NO2;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NO3;SOLARPV;RG1;2329.130033
NO3;SOLARPV;RG2;2329.130033
NO3;SOLARPV;RG3;0
CZ;WINDTURBINE_ONSHORE;RG3;9423
LV;WINDTURBINE_ONSHORE;RG2;9320
EE;WINDTURBINE_ONSHORE;RG3;9200
NO3;WINDTURBINE_OFFSHORE;RG1_OFF1;115
NO3;WINDTURBINE_OFFSHORE;RG2_OFF1;9394
NO3;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NO3;WINDTURBINE_OFFSHORE;RG2_OFF2;0
NO3;WINDTURBINE_OFFSHORE;RG3_OFF2;0
NO3;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NO3;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NO3;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NO3;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NO3;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NO3;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NO3;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NO3;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NO3;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NO4;SOLARPV;RG1;2329.130033
NO4;SOLARPV;RG2;2329.130033
NO4;SOLARPV;RG3;0
LT;WINDTURBINE_ONSHORE;RG2;8560
RO;WINDTURBINE_ONSHORE;RG2;8160
CZ;WINDTURBINE_ONSHORE;RG2;7538.4
NO4;WINDTURBINE_OFFSHORE;RG1_OFF1;175
NO4;WINDTURBINE_OFFSHORE;RG2_OFF1;9500
NO4;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NO4;WINDTURBINE_OFFSHORE;RG2_OFF2;0
NO4;WINDTURBINE_OFFSHORE;RG3_OFF2;0
NO4;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NO4;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NO4;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NO4;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NO4;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NO4;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NO4;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NO4;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NO4;WINDTURBINE_OFFSHORE;RG3_OFF5;0
NO5;SOLARPV;RG1;2329.130033
NO5;SOLARPV;RG2;2329.130033
NO5;SOLARPV;RG3;0
FIN;WINDTURBINE_ONSHORE;RG3;7500
EE;WINDTURBINE_ONSHORE;RG2;7360
FIN;WINDTURBINE_ONSHORE;RG2;6000
NO5;WINDTURBINE_OFFSHORE;RG1_OFF1;0
NO5;WINDTURBINE_OFFSHORE;RG2_OFF1;7000
NO5;WINDTURBINE_OFFSHORE;RG3_OFF1;0
NO5;WINDTURBINE_OFFSHORE;RG1_OFF2;0
NO5;WINDTURBINE_OFFSHORE;RG2_OFF2;0
NO5;WINDTURBINE_OFFSHORE;RG3_OFF2;0
NO5;WINDTURBINE_OFFSHORE;RG1_OFF3;0
NO5;WINDTURBINE_OFFSHORE;RG2_OFF3;0
NO5;WINDTURBINE_OFFSHORE;RG3_OFF3;0
NO5;WINDTURBINE_OFFSHORE;RG1_OFF4;0
NO5;WINDTURBINE_OFFSHORE;RG2_OFF4;0
NO5;WINDTURBINE_OFFSHORE;RG3_OFF4;0
NO5;WINDTURBINE_OFFSHORE;RG1_OFF5;0
NO5;WINDTURBINE_OFFSHORE;RG2_OFF5;0
NO5;WINDTURBINE_OFFSHORE;RG3_OFF5;0
SE1;SOLARPV;RG1;7328.7
SE1;SOLARPV;RG2;7328.7
SE1;SOLARPV;RG3;0
GR;WINDTURBINE_ONSHORE;RG3;5762.601626
DK1;WINDTURBINE_ONSHORE;RG3;5531.141869
SE2;WINDTURBINE_ONSHORE;RG3;5518.018018
SE1;WINDTURBINE_OFFSHORE;RG1_OFF1;0
SE1;WINDTURBINE_OFFSHORE;RG2_OFF1;10750
SE1;WINDTURBINE_OFFSHORE;RG3_OFF1;0
SE1;WINDTURBINE_OFFSHORE;RG1_OFF2;0
SE1;WINDTURBINE_OFFSHORE;RG2_OFF2;0
SE1;WINDTURBINE_OFFSHORE;RG3_OFF2;0
SE1;WINDTURBINE_OFFSHORE;RG1_OFF3;0
SE1;WINDTURBINE_OFFSHORE;RG2_OFF3;0
SE1;WINDTURBINE_OFFSHORE;RG3_OFF3;0
SE1;WINDTURBINE_OFFSHORE;RG1_OFF4;0
SE1;WINDTURBINE_OFFSHORE;RG2_OFF4;0
SE1;WINDTURBINE_OFFSHORE;RG3_OFF4;0
SE1;WINDTURBINE_OFFSHORE;RG1_OFF5;0
SE1;WINDTURBINE_OFFSHORE;RG2_OFF5;0
SE1;WINDTURBINE_OFFSHORE;RG3_OFF5;0
SE2;SOLARPV;RG1;7328.7
SE2;SOLARPV;RG2;7328.7
SE2;SOLARPV;RG3;0
SE3;WINDTURBINE_ONSHORE;RG3;5498.310811
NL;WINDTURBINE_ONSHORE;RG3;5150
AT;WINDTURBINE_ONSHORE;RG3;4825.5
SE2;WINDTURBINE_OFFSHORE;RG1_OFF1;0
SE2;WINDTURBINE_OFFSHORE;RG2_OFF1;10750
SE2;WINDTURBINE_OFFSHORE;RG3_OFF1;0
SE2;WINDTURBINE_OFFSHORE;RG1_OFF2;0
SE2;WINDTURBINE_OFFSHORE;RG2_OFF2;0
SE2;WINDTURBINE_OFFSHORE;RG3_OFF2;0
