YYY;IRRRE;IRRRI;Value
2013;DE4-E;DE4-N;568371
2013;DE4-E;DE4-S;568371
2013;DE4-E;DE4-W;568371
2013;DE4-E;SE4;842800
2013;DE4-E;PL;568371
2013;DE4-E;CZ;304054
2013;DE4-N;DK1;568371
2013;DE4-N;DE4-E;568371
2013;DE4-N;DE4-W;568371
2013;DE4-N;NO2;1185800
2013;DE4-N;SE4;842800
2013;DE4-S;DE4-E;568371
2013;DE4-S;DE4-W;568371
2013;DE4-S;BE;539000
2013;DE4-S;FR;568400
2013;DE4-S;CH;126689
2013;DE4-S;AT;487753
2013;DE4-S;CZ;430743
2013;DE4-W;DE4-E;568371
2013;DE4-W;DE4-N;568371
2013;DE4-W;DE4-S;568371
2013;DE4-W;NL;568371
2013;DE4-W;BE;568371
2013;DE4-W;LU;134659.7528
2013;NL;DK1;842800
2013;NL;DE4-W;568371
2013;NL;UK;872200
2013;NL;BE;450800
2013;NO1;NO2;509574
2013;NO1;NO3;568371
2013;NO1;NO5;519374
2013;NO1;SE3;568371
2013;NO2;DK1;695800
2013;NO2;DE4-N;1185800
2013;NO2;NO1;509574
2013;NO2;NO5;489975
2013;NO2;UK;1215200
2013;NO3;NO1;568371
2013;NO3;NO4;568371
2013;NO3;NO5;509574
2013;NO3;SE2;568371
2013;NO4;FIN;568371
2013;NO4;NO3;568371
2013;NO4;SE1;489975
2013;NO4;SE2;538973
2013;NO5;NO1;519374
2013;NO5;NO2;489975
2013;NO5;NO3;509574
2013;SE1;FIN;568371
2013;SE1;NO4;489975
2013;SE1;SE2;568371
2013;SE2;NO3;568371
2013;SE2;NO4;538973
2013;SE2;SE1;568371
2013;SE2;SE3;568371
2013;SE3;DK1;774161
2013;SE3;FIN;793760
2013;SE3;NO1;568371
2013;SE3;SE2;568371
2013;SE3;SE4;568371
2013;SE3;EE;999600
2013;SE3;LV;999600
2013;SE4;DK2;421379
2013;SE4;DE4-E;842800
2013;SE4;DE4-N;842800
2013;SE4;SE3;568371
2013;SE4;LT;989800
2013;SE4;PL;862400
2013;UK;DK1;1195600
2013;UK;NL;872200
2013;UK;NO2;1215200
2013;UK;BE;401800
2013;UK;FR;735000
2013;UK;IE;599364.9205
2013;EE;FIN;676200
2013;EE;SE3;999600
2013;EE;LV;450800
2013;LV;SE3;999600
2013;LV;EE;450800
2013;LV;LT;450800
2013;LT;SE4;989800
2013;LT;LV;450800
2013;LT;PL;568371
2013;PL;DE4-E;568371
2013;PL;SE4;862400
2013;PL;LT;568371
2013;PL;CZ;177364
2013;PL;SK;403539.6641
2013;BE;DE4-S;539000
2013;BE;DE4-W;568371
2013;BE;NL;450800
2013;BE;UK;401800
2013;BE;FR;568400
2013;BE;LU;190597.0228
2013;FR;DE4-S;568400
2013;FR;UK;735000
2013;FR;BE;568400
2013;FR;IT;735000
2013;FR;CH;278716
2013;FR;ES;735000
2013;FR;LU;491522.6477
2013;IT;FR;735000
2013;IT;CH;931165
2013;IT;AT;487753
2013;IT;SI;427272.9872
2013;IT;HR;549476.7599
