"Y";"C";"RRR";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"GERMANY";"DE4-S";"ENDOGENOUS_ELECT2HEAT";"TWh";55.0122837177102;"GH2E"
"2020";"GERMANY";"DE4-S";"ENDO_INTRASTO";"TWh";0.373655177193867;"GH2E"
"2020";"GERMANY";"DE4-S";"DIST_LOSSES";"TWh";11.525061037621;"GH2E"
"2020";"GERMANY";"DE4-S";"TRANS_LOSSES";"TWh";1.54206877945125;"GH2E"
"2020";"GERMANY";"DE4-S";"ENDO_H2";"TWh";2.03464499169019;"GH2E"
"2020";"GERMANY";"DE4-W";"EXOGENOUS";"TWh";190.109030425485;"GH2E"
"2020";"GERMANY";"DE4-W";"ENDOGENOUS_ELECT2HEAT";"TWh";64.0553414171225;"GH2E"
"2020";"GERMANY";"DE4-W";"ENDO_INTRASTO";"TWh";0.174800195192868;"GH2E"
"2020";"GERMANY";"DE4-W";"DIST_LOSSES";"TWh";12.9639422378198;"GH2E"
"2020";"GERMANY";"DE4-W";"TRANS_LOSSES";"TWh";0.452762040241297;"GH2E"
"2020";"GERMANY";"DE4-W";"ENDO_H2";"TWh";3.86668437129057;"GH2E"
"2020";"NETHERLANDS";"NL";"EXOGENOUS";"TWh";99.6652446210543;"GH2E"
"2020";"NETHERLANDS";"NL";"ENDOGENOUS_ELECT2HEAT";"TWh";33.1744756247276;"GH2E"
"2020";"NETHERLANDS";"NL";"DIST_LOSSES";"TWh";4.10096190754474;"GH2E"
"2020";"NETHERLANDS";"NL";"TRANS_LOSSES";"TWh";0.547572124740613;"GH2E"
"2020";"NETHERLANDS";"NL";"ENDO_H2";"TWh";4.12780715998339;"GH2E"
"2020";"SWEDEN";"SE1";"EXOGENOUS";"TWh";7.39012790016382;"GH2E"
"2020";"SWEDEN";"SE1";"ENDOGENOUS_ELECT2HEAT";"TWh";0.460045501616272;"GH2E"
"2020";"SWEDEN";"SE1";"DIST_LOSSES";"TWh";0.466063710301238;"GH2E"
"2020";"SWEDEN";"SE1";"TRANS_LOSSES";"TWh";0.105956364251246;"GH2E"
"2020";"SWEDEN";"SE1";"ENDO_H2";"TWh";0.0448070301253043;"GH2E"
"2020";"SWEDEN";"SE2";"EXOGENOUS";"TWh";13.1270013666174;"GH2E"
"2020";"SWEDEN";"SE2";"ENDOGENOUS_ELECT2HEAT";"TWh";0.979962641921947;"GH2E"
"2020";"SWEDEN";"SE2";"DIST_LOSSES";"TWh";0.838905891359957;"GH2E"
"2020";"SWEDEN";"SE2";"TRANS_LOSSES";"TWh";0.0867608561586325;"GH2E"
"2020";"SWEDEN";"SE2";"ENDO_H2";"TWh";0.0674475487235134;"GH2E"
"2020";"SWEDEN";"SE3";"EXOGENOUS";"TWh";62.259329082878;"GH2E"
"2020";"SWEDEN";"SE3";"ENDOGENOUS_ELECT2HEAT";"TWh";5.93808244848788;"GH2E"
"2020";"SWEDEN";"SE3";"DIST_LOSSES";"TWh";4.02914390963698;"GH2E"
"2020";"SWEDEN";"SE3";"TRANS_LOSSES";"TWh";0.140440923075842;"GH2E"
"2020";"SWEDEN";"SE3";"ENDO_H2";"TWh";0.371446661237497;"GH2E"
"2020";"SWEDEN";"SE4";"EXOGENOUS";"TWh";18.0259309345289;"GH2E"
"2020";"SWEDEN";"SE4";"ENDOGENOUS_ELECT2HEAT";"TWh";1.75334611018523;"GH2E"
"2020";"SWEDEN";"SE4";"DIST_LOSSES";"TWh";1.1771576471313;"GH2E"
"2020";"SWEDEN";"SE4";"TRANS_LOSSES";"TWh";0.159009291139833;"GH2E"
"2020";"SWEDEN";"SE4";"ENDO_H2";"TWh";0.157861284639249;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"EXOGENOUS";"TWh";252.577524947039;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"ENDOGENOUS_ELECT2HEAT";"TWh";119.778571314097;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"ENDO_INTRASTO";"TWh";1.02443357459906;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"DIST_LOSSES";"TWh";32.6813288990649;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"TRANS_LOSSES";"TWh";0.400857225635272;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"ENDO_H2";"TWh";2.39851770372413;"GH2E"
"2020";"ESTONIA";"EE";"EXOGENOUS";"TWh";6.23740801743876;"GH2E"
"2020";"ESTONIA";"EE";"ENDOGENOUS_ELECT2HEAT";"TWh";0.854784018309202;"GH2E"
"2020";"ESTONIA";"EE";"DIST_LOSSES";"TWh";0.373273265039367;"GH2E"
"2020";"ESTONIA";"EE";"TRANS_LOSSES";"TWh";0.0311122599926555;"GH2E"
"2020";"ESTONIA";"EE";"ENDO_H2";"TWh";6.14500983413826e-07;"GH2E"
"2020";"LATVIA";"LV";"EXOGENOUS";"TWh";5.68442848983748;"GH2E"
"2020";"LATVIA";"LV";"ENDOGENOUS_ELECT2HEAT";"TWh";0.852478763436837;"GH2E"
"2020";"LATVIA";"LV";"DIST_LOSSES";"TWh";0.344003155006569;"GH2E"
"2020";"LATVIA";"LV";"TRANS_LOSSES";"TWh";0.0354320466607202;"GH2E"
"2020";"LATVIA";"LV";"ENDO_H2";"TWh";0.000320232499928029;"GH2E"
"2020";"LITHUANIA";"LT";"EXOGENOUS";"TWh";9.11008958301995;"GH2E"
"2020";"LITHUANIA";"LT";"ENDOGENOUS_ELECT2HEAT";"TWh";1.33687172888924;"GH2E"
"2020";"LITHUANIA";"LT";"ENDO_INTRASTO";"TWh";0.36070175316691;"GH2E"
"2020";"LITHUANIA";"LT";"DIST_LOSSES";"TWh";0.545774618309506;"GH2E"
"2020";"LITHUANIA";"LT";"TRANS_LOSSES";"TWh";0.126034227836042;"GH2E"
"2020";"LITHUANIA";"LT";"ENDO_H2";"TWh";0.922156575031273;"GH2E"
"2020";"POLAND";"PL";"EXOGENOUS";"TWh";132.646299216631;"GH2E"
"2020";"POLAND";"PL";"ENDOGENOUS_ELECT2HEAT";"TWh";19.5153175684797;"GH2E"
"2020";"POLAND";"PL";"ENDO_INTRASTO";"TWh";0.0783813348967725;"GH2E"
"2020";"POLAND";"PL";"DIST_LOSSES";"TWh";8.00850614658478;"GH2E"
"2020";"POLAND";"PL";"TRANS_LOSSES";"TWh";0.0852735023546087;"GH2E"
"2020";"POLAND";"PL";"ENDO_H2";"TWh";3.24362288067736;"GH2E"
"2020";"BELGIUM";"BE";"EXOGENOUS";"TWh";68.8184978738954;"GH2E"
"2020";"BELGIUM";"BE";"ENDOGENOUS_ELECT2HEAT";"TWh";17.5402249101544;"GH2E"
"2020";"BELGIUM";"BE";"ENDO_INTRASTO";"TWh";0.356925235603268;"GH2E"
"2020";"BELGIUM";"BE";"DIST_LOSSES";"TWh";4.57929253062168;"GH2E"
"2020";"BELGIUM";"BE";"TRANS_LOSSES";"TWh";0.369309474329285;"GH2E"
"2020";"BELGIUM";"BE";"ENDO_H2";"TWh";1.97506831599671;"GH2E"
"2020";"FRANCE";"FR";"EXOGENOUS";"TWh";355.512907435022;"GH2E"
"2020";"FRANCE";"FR";"ENDOGENOUS_ELECT2HEAT";"TWh";94.430920893256;"GH2E"
"2020";"FRANCE";"FR";"ENDO_INTRASTO";"TWh";0.786251162115778;"GH2E"
"2020";"FRANCE";"FR";"DIST_LOSSES";"TWh";23.685501788377;"GH2E"
