"Y";"C";"RRR";"SUBCATEGORY";"UNITS";"value";"Scenario"
"2020";"DENMARK";"DK2";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000633039178113778;"GH2E"
"2020";"DENMARK";"DK2";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";9.46059876016366e-05;"GH2E"
"2020";"DENMARK";"DK2";"GENERATION_CO2_TAX";"Mmoney";1057.93134556783;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_CAPITAL_COSTS";"Mmoney";1602.83717060355;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_FIXED_COSTS";"Mmoney";3227.76395370034;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_OPERATIONAL_COSTS";"Mmoney";405.75938152853;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_FUEL_COSTS";"Mmoney";3914.00582017217;"GH2E"
"2020";"FINLAND";"FIN";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000462548486285573;"GH2E"
"2020";"FINLAND";"FIN";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000328243817111131;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_CO2_TAX";"Mmoney";3582.94798579835;"GH2E"
"2020";"FINLAND";"FIN";"GENERATION_CO2_TRANSPORT";"Mmoney";0.799473131646433;"GH2E"
"2020";"GERMANY";"DE4-E";"GENERATION_CAPITAL_COSTS";"Mmoney";1928.12780818266;"GH2E"
"2020";"GERMANY";"DE4-E";"GENERATION_FIXED_COSTS";"Mmoney";3655.63817665779;"GH2E"
"2020";"GERMANY";"DE4-E";"GENERATION_OPERATIONAL_COSTS";"Mmoney";372.489761541937;"GH2E"
"2020";"GERMANY";"DE4-E";"GENERATION_FUEL_COSTS";"Mmoney";3754.04732849799;"GH2E"
"2020";"GERMANY";"DE4-E";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00296615027202222;"GH2E"
"2020";"GERMANY";"DE4-E";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000828945783458443;"GH2E"
"2020";"GERMANY";"DE4-E";"GENERATION_CO2_TAX";"Mmoney";7108.75473611644;"GH2E"
"2020";"GERMANY";"DE4-N";"GENERATION_CAPITAL_COSTS";"Mmoney";974.184743583719;"GH2E"
"2020";"GERMANY";"DE4-N";"GENERATION_FIXED_COSTS";"Mmoney";1690.27132768485;"GH2E"
"2020";"GERMANY";"DE4-N";"GENERATION_OPERATIONAL_COSTS";"Mmoney";171.088406855912;"GH2E"
"2020";"GERMANY";"DE4-N";"GENERATION_FUEL_COSTS";"Mmoney";1430.08787367143;"GH2E"
"2020";"GERMANY";"DE4-N";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.0012237264840757;"GH2E"
"2020";"GERMANY";"DE4-N";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000306302619297481;"GH2E"
"2020";"GERMANY";"DE4-N";"GENERATION_CO2_TAX";"Mmoney";1508.45686719927;"GH2E"
"2020";"GERMANY";"DE4-S";"GENERATION_CAPITAL_COSTS";"Mmoney";4658.56826448987;"GH2E"
"2020";"GERMANY";"DE4-S";"GENERATION_FIXED_COSTS";"Mmoney";7088.77800113293;"GH2E"
"2020";"GERMANY";"DE4-S";"GENERATION_OPERATIONAL_COSTS";"Mmoney";899.923673155439;"GH2E"
"2020";"GERMANY";"DE4-S";"GENERATION_FUEL_COSTS";"Mmoney";10901.5570179297;"GH2E"
"2020";"GERMANY";"DE4-S";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00163514076774642;"GH2E"
"2020";"GERMANY";"DE4-S";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00212434154698864;"GH2E"
"2020";"GERMANY";"DE4-S";"GENERATION_CO2_TAX";"Mmoney";10709.718621918;"GH2E"
"2020";"GERMANY";"DE4-W";"GENERATION_CAPITAL_COSTS";"Mmoney";6486.87656580365;"GH2E"
"2020";"GERMANY";"DE4-W";"GENERATION_FIXED_COSTS";"Mmoney";9653.00100341253;"GH2E"
"2020";"GERMANY";"DE4-W";"GENERATION_OPERATIONAL_COSTS";"Mmoney";1033.99652563839;"GH2E"
"2020";"GERMANY";"DE4-W";"GENERATION_FUEL_COSTS";"Mmoney";13507.4953710025;"GH2E"
"2020";"GERMANY";"DE4-W";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00544649842190621;"GH2E"
"2020";"GERMANY";"DE4-W";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00144884225145407;"GH2E"
"2020";"GERMANY";"DE4-W";"GENERATION_CO2_TAX";"Mmoney";22316.8067905522;"GH2E"
"2020";"NETHERLANDS";"NL";"GENERATION_CAPITAL_COSTS";"Mmoney";3499.09581962016;"GH2E"
"2020";"NETHERLANDS";"NL";"GENERATION_FIXED_COSTS";"Mmoney";4940.0449204356;"GH2E"
"2020";"NETHERLANDS";"NL";"GENERATION_OPERATIONAL_COSTS";"Mmoney";512.067481046855;"GH2E"
"2020";"NETHERLANDS";"NL";"GENERATION_FUEL_COSTS";"Mmoney";5039.97342288524;"GH2E"
"2020";"NETHERLANDS";"NL";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000289479733578429;"GH2E"
"2020";"NETHERLANDS";"NL";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.0021812984506731;"GH2E"
"2020";"NETHERLANDS";"NL";"GENERATION_CO2_TAX";"Mmoney";6102.81691561314;"GH2E"
"2020";"SWEDEN";"SE1";"GENERATION_CAPITAL_COSTS";"Mmoney";87.8271581513024;"GH2E"
"2020";"SWEDEN";"SE1";"GENERATION_FIXED_COSTS";"Mmoney";288.779336014529;"GH2E"
"2020";"SWEDEN";"SE1";"GENERATION_OPERATIONAL_COSTS";"Mmoney";25.5905957592617;"GH2E"
"2020";"SWEDEN";"SE1";"GENERATION_FUEL_COSTS";"Mmoney";146.633803763152;"GH2E"
"2020";"SWEDEN";"SE1";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00039944288853992;"GH2E"
"2020";"SWEDEN";"SE1";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";3.18422309253651e-05;"GH2E"
"2020";"SWEDEN";"SE1";"GENERATION_CO2_TAX";"Mmoney";136.500640713639;"GH2E"
"2020";"SWEDEN";"SE2";"GENERATION_CAPITAL_COSTS";"Mmoney";78.5093340585241;"GH2E"
"2020";"SWEDEN";"SE2";"GENERATION_FIXED_COSTS";"Mmoney";474.858587494869;"GH2E"
"2020";"SWEDEN";"SE2";"GENERATION_OPERATIONAL_COSTS";"Mmoney";53.7668059544552;"GH2E"
"2020";"SWEDEN";"SE2";"GENERATION_FUEL_COSTS";"Mmoney";289.533485179762;"GH2E"
"2020";"SWEDEN";"SE2";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000739665503061796;"GH2E"
"2020";"SWEDEN";"SE2";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";5.4188254578065e-05;"GH2E"
"2020";"SWEDEN";"SE2";"GENERATION_CO2_TAX";"Mmoney";201.521435100867;"GH2E"
"2020";"SWEDEN";"SE3";"GENERATION_CAPITAL_COSTS";"Mmoney";963.978211336499;"GH2E"
"2020";"SWEDEN";"SE3";"GENERATION_FIXED_COSTS";"Mmoney";2676.24263376707;"GH2E"
"2020";"SWEDEN";"SE3";"GENERATION_OPERATIONAL_COSTS";"Mmoney";417.58068712202;"GH2E"
"2020";"SWEDEN";"SE3";"GENERATION_FUEL_COSTS";"Mmoney";3338.93756520558;"GH2E"
"2020";"SWEDEN";"SE3";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00164197321435259;"GH2E"
"2020";"SWEDEN";"SE3";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000308088300962082;"GH2E"
"2020";"SWEDEN";"SE3";"GENERATION_CO2_TAX";"Mmoney";1848.4509454309;"GH2E"
"2020";"SWEDEN";"SE4";"GENERATION_CAPITAL_COSTS";"Mmoney";342.224108723229;"GH2E"
"2020";"SWEDEN";"SE4";"GENERATION_FIXED_COSTS";"Mmoney";512.760567265762;"GH2E"
"2020";"SWEDEN";"SE4";"GENERATION_OPERATIONAL_COSTS";"Mmoney";72.4691691711545;"GH2E"
"2020";"SWEDEN";"SE4";"GENERATION_FUEL_COSTS";"Mmoney";1250.56027112118;"GH2E"
"2020";"SWEDEN";"SE4";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000586748394363818;"GH2E"
"2020";"SWEDEN";"SE4";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000107389516028018;"GH2E"
"2020";"SWEDEN";"SE4";"GENERATION_CO2_TAX";"Mmoney";995.901362684975;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"GENERATION_CAPITAL_COSTS";"Mmoney";18594.5770273358;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"GENERATION_FIXED_COSTS";"Mmoney";25481.5113669337;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"GENERATION_OPERATIONAL_COSTS";"Mmoney";1512.35477800177;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"GENERATION_FUEL_COSTS";"Mmoney";17814.1901829029;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.00112324619774104;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000519876284448834;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"GENERATION_CO2_TAX";"Mmoney";15770.9824163693;"GH2E"
"2020";"ESTONIA";"EE";"GENERATION_CAPITAL_COSTS";"Mmoney";148.849266811824;"GH2E"
"2020";"ESTONIA";"EE";"GENERATION_FIXED_COSTS";"Mmoney";336.056035169109;"GH2E"
"2020";"ESTONIA";"EE";"GENERATION_OPERATIONAL_COSTS";"Mmoney";31.4946503371311;"GH2E"
"2020";"ESTONIA";"EE";"GENERATION_FUEL_COSTS";"Mmoney";354.598262382225;"GH2E"
"2020";"ESTONIA";"EE";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000376950675620092;"GH2E"
"2020";"ESTONIA";"EE";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";2.56821172058805e-05;"GH2E"
"2020";"ESTONIA";"EE";"GENERATION_CO2_TAX";"Mmoney";897.463990642034;"GH2E"
"2020";"LATVIA";"LV";"GENERATION_CAPITAL_COSTS";"Mmoney";173.889220208529;"GH2E"
"2020";"LATVIA";"LV";"GENERATION_FIXED_COSTS";"Mmoney";391.064556062681;"GH2E"
"2020";"LATVIA";"LV";"GENERATION_OPERATIONAL_COSTS";"Mmoney";16.8146533304766;"GH2E"
"2020";"LATVIA";"LV";"GENERATION_FUEL_COSTS";"Mmoney";317.607462264885;"GH2E"
"2020";"LATVIA";"LV";"TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";0.000284829475285655;"GH2E"
"2020";"LATVIA";"LV";"HEAT_TRANSMISSION_OPERATIONAL_COSTS";"Mmoney";4.92959987509691e-06;"GH2E"
"2020";"LATVIA";"LV";"GENERATION_CO2_TAX";"Mmoney";132.552761373406;"GH2E"
"2020";"LITHUANIA";"LT";"GENERATION_CAPITAL_COSTS";"Mmoney";10626.7072022253;"GH2E"
