"Y";"C";"RRR";"PRICE_CATEGORY";"UNITS";"value";"Scenario"
"2025";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";94.7555162967862;"GH2E"
"2025";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";43.6901975379859;"GH2E"
"2025";"ITALY";"IT";"AVERAGE";"Money_per_MWh";49.7289254113346;"GH2E"
"2025";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";55.2349767246303;"GH2E"
"2025";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";50.0512733529336;"GH2E"
"2025";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";55.2349767246302;"GH2E"
"2025";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";45.3794787573576;"GH2E"
"2025";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";45.773776039653;"GH2E"
"2025";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";87.4302715697792;"GH2E"
"2025";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";91.1492836820931;"GH2E"
"2025";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";89.5964218129089;"GH2E"
"2025";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";90.0982000175975;"GH2E"
"2025";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";87.1380979579105;"GH2E"
"2025";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";85.7511482494704;"GH2E"
"2025";"GREECE";"GR";"AVERAGE";"Money_per_MWh";92.5732009949364;"GH2E"
"2025";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";68.4639529560251;"GH2E"
"2025";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";85.2655435976913;"GH2E"
"2025";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";91.2011374038541;"GH2E"
"2025";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";92.5066908509966;"GH2E"
"2025";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";91.3466651774879;"GH2E"
"2025";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";94.0194261798388;"GH2E"
"2025";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";94.9182252612667;"GH2E"
"2025";"MALTA";"MT";"AVERAGE";"Money_per_MWh";37.913505114083;"GH2E"
"2025";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";34.9426284648837;"GH2E"
"2030";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";46.5784029592552;"GH2E"
"2030";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";47.5110817247079;"GH2E"
"2030";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";45.8302069045644;"GH2E"
"2030";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";42.614466671202;"GH2E"
"2030";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";46.8473744333231;"GH2E"
"2030";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";48.1601385003658;"GH2E"
"2030";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";48.0491997036445;"GH2E"
"2030";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";44.8276844565991;"GH2E"
"2030";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";49.149541317392;"GH2E"
"2030";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";48.6766645603301;"GH2E"
"2030";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";49.5602080352838;"GH2E"
"2030";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";49.2227162987422;"GH2E"
"2030";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";49.0462843246947;"GH2E"
"2030";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";43.3269254602442;"GH2E"
"2030";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";44.5174932277188;"GH2E"
"2030";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";46.1107925395108;"GH2E"
"2030";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";47.2931977067793;"GH2E"
"2030";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";47.9371962670361;"GH2E"
"2030";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";47.5724062099208;"GH2E"
"2030";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";48.2966509873025;"GH2E"
"2030";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";49.0287164262601;"GH2E"
"2030";"POLAND";"PL";"AVERAGE";"Money_per_MWh";49.8070619973743;"GH2E"
"2030";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";49.1962740116721;"GH2E"
"2030";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";48.3954599003774;"GH2E"
"2030";"ITALY";"IT";"AVERAGE";"Money_per_MWh";49.6980241652564;"GH2E"
"2030";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";49.6721602401386;"GH2E"
"2030";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";50.1897954480781;"GH2E"
"2030";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";50.4697902436921;"GH2E"
"2030";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";50.0721508201879;"GH2E"
"2030";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";49.2290370510225;"GH2E"
"2030";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";51.0725492286265;"GH2E"
"2030";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";51.4002773251112;"GH2E"
"2030";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";50.8615539843585;"GH2E"
"2030";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";51.2029531929232;"GH2E"
"2030";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";52.0855281097895;"GH2E"
"2030";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";52.8125991716265;"GH2E"
"2030";"GREECE";"GR";"AVERAGE";"Money_per_MWh";55.5903155091421;"GH2E"
"2030";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";47.2924118754166;"GH2E"
"2030";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";49.5146795621472;"GH2E"
"2030";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";53.9643030179998;"GH2E"
"2030";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";64.2657318705339;"GH2E"
"2030";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";53.7946634826009;"GH2E"
"2030";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";52.0305917468002;"GH2E"
"2030";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";52.590078827842;"GH2E"
"2030";"MALTA";"MT";"AVERAGE";"Money_per_MWh";59.9405148606414;"GH2E"
"2030";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";62.0400336218212;"GH2E"
"2035";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";53.4657143936811;"GH2E"
"2035";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";54.239478390635;"GH2E"
"2035";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";52.8802744173876;"GH2E"
"2035";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";51.3922254338657;"GH2E"
"2035";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";53.6807596868952;"GH2E"
"2035";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";55.0045941584635;"GH2E"
"2035";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";54.9444052021358;"GH2E"
"2035";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";53.141732132541;"GH2E"
"2035";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";55.3001222482186;"GH2E"
"2035";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";54.9920083118108;"GH2E"
"2035";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";55.4455667129316;"GH2E"
"2035";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";55.3483938588092;"GH2E"
"2035";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";54.8922446042716;"GH2E"
"2035";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";51.8560557788697;"GH2E"
"2035";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";51.9382193812597;"GH2E"
"2035";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";53.4192908662262;"GH2E"
"2035";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";54.3809653806994;"GH2E"
"2035";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";53.7785542808949;"GH2E"
"2035";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";53.1768564477296;"GH2E"
"2035";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";53.4495793272232;"GH2E"
"2035";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";52.8811001609872;"GH2E"
"2035";"POLAND";"PL";"AVERAGE";"Money_per_MWh";54.2823110452096;"GH2E"
"2035";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";55.0117405057372;"GH2E"
"2035";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";54.8374106952632;"GH2E"
"2035";"ITALY";"IT";"AVERAGE";"Money_per_MWh";54.7752975703588;"GH2E"
"2035";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";55.2870208082825;"GH2E"
"2035";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";55.2236820912435;"GH2E"
"2035";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";55.2195606074312;"GH2E"
"2035";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";53.009327729782;"GH2E"
"2035";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";52.8812677755018;"GH2E"
"2035";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";55.4501106669948;"GH2E"
"2035";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";55.6575119330286;"GH2E"
"2035";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";55.5943453120316;"GH2E"
"2035";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";55.8997405024295;"GH2E"
"2035";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";56.176136382319;"GH2E"
"2035";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";56.5531741758493;"GH2E"
"2035";"GREECE";"GR";"AVERAGE";"Money_per_MWh";58.7031130270512;"GH2E"
"2035";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";53.2304755606778;"GH2E"
"2035";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";55.3309554275908;"GH2E"
"2035";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";57.8367629542239;"GH2E"
"2035";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";63.4457411780681;"GH2E"
"2035";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";57.5910310114906;"GH2E"
"2035";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";56.5966011246317;"GH2E"
"2035";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";56.679497486614;"GH2E"
"2035";"MALTA";"MT";"AVERAGE";"Money_per_MWh";56.8098400750863;"GH2E"
"2035";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";60.5247143815466;"GH2E"
"2040";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";46.1526759760442;"GH2E"
"2040";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";46.5568628063131;"GH2E"
"2040";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";46.499443584954;"GH2E"
"2040";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";46.5539096744408;"GH2E"
"2040";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";46.3753449262348;"GH2E"
"2040";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";46.7314051629463;"GH2E"
"2040";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";46.8265588743354;"GH2E"
"2040";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";47.9185690870618;"GH2E"
"2040";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";47.0844148527447;"GH2E"
"2040";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";47.0569261044025;"GH2E"
"2040";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";47.3018475773001;"GH2E"
"2040";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";47.4735698745795;"GH2E"
"2040";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";47.1915256839897;"GH2E"
"2040";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";46.9670671670041;"GH2E"
"2040";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";46.2375061882824;"GH2E"
"2040";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";46.6642828416399;"GH2E"
"2040";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";46.8280502798772;"GH2E"
"2040";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";46.2642927505788;"GH2E"
"2040";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";46.5362305569537;"GH2E"
"2040";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";46.292488201488;"GH2E"
"2040";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";46.0781277593343;"GH2E"
"2040";"POLAND";"PL";"AVERAGE";"Money_per_MWh";46.6015583013831;"GH2E"
"2040";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";47.0337591461535;"GH2E"
"2040";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";46.1543643982302;"GH2E"
"2040";"ITALY";"IT";"AVERAGE";"Money_per_MWh";46.8088149686328;"GH2E"
"2040";"SWITZERLAND";"CH";"AVERAGE";"Money_per_MWh";47.1072802923688;"GH2E"
"2040";"AUSTRIA";"AT";"AVERAGE";"Money_per_MWh";47.1220850709499;"GH2E"
"2040";"CZECH_REPUBLIC";"CZ";"AVERAGE";"Money_per_MWh";47.0957171606807;"GH2E"
"2040";"SPAIN";"ES";"AVERAGE";"Money_per_MWh";44.2144718576165;"GH2E"
"2040";"PORTUGAL";"PT";"AVERAGE";"Money_per_MWh";43.5411084620979;"GH2E"
"2040";"SLOVAKIA";"SK";"AVERAGE";"Money_per_MWh";46.930239647278;"GH2E"
"2040";"HUNGARY";"HU";"AVERAGE";"Money_per_MWh";46.9787190194658;"GH2E"
"2040";"SLOVENIA";"SI";"AVERAGE";"Money_per_MWh";47.2679811651713;"GH2E"
"2040";"CROATIA";"HR";"AVERAGE";"Money_per_MWh";47.2932687252171;"GH2E"
"2040";"ROMANIA";"RO";"AVERAGE";"Money_per_MWh";46.9025323583342;"GH2E"
"2040";"BULGARIA";"BG";"AVERAGE";"Money_per_MWh";46.7088822554932;"GH2E"
"2040";"GREECE";"GR";"AVERAGE";"Money_per_MWh";47.6077618754905;"GH2E"
"2040";"IRELAND";"IE";"AVERAGE";"Money_per_MWh";45.8054061389757;"GH2E"
"2040";"LUXEMBOURG";"LU";"AVERAGE";"Money_per_MWh";47.2661991033766;"GH2E"
"2040";"ALBANIA";"AL";"AVERAGE";"Money_per_MWh";48.1181079803631;"GH2E"
"2040";"MONTENEGRO";"ME";"AVERAGE";"Money_per_MWh";50.9493227309318;"GH2E"
"2040";"NORTH_MACEDONIA";"MK";"AVERAGE";"Money_per_MWh";47.3739253706088;"GH2E"
"2040";"BOSNIA_AND_HERZEGOVINA";"BA";"AVERAGE";"Money_per_MWh";47.7989541686483;"GH2E"
"2040";"SERBIA";"RS";"AVERAGE";"Money_per_MWh";47.6244498563273;"GH2E"
"2040";"MALTA";"MT";"AVERAGE";"Money_per_MWh";47.714743786362;"GH2E"
"2040";"CYPRUS";"CY";"AVERAGE";"Money_per_MWh";46.5095719450548;"GH2E"
"2045";"NORWAY";"NO1";"AVERAGE";"Money_per_MWh";46.5560393316784;"GH2E"
"2045";"NORWAY";"NO2";"AVERAGE";"Money_per_MWh";46.6588403986321;"GH2E"
"2045";"NORWAY";"NO3";"AVERAGE";"Money_per_MWh";47.005873045608;"GH2E"
"2045";"NORWAY";"NO4";"AVERAGE";"Money_per_MWh";47.0634989063809;"GH2E"
"2045";"NORWAY";"NO5";"AVERAGE";"Money_per_MWh";46.4729383389637;"GH2E"
"2045";"DENMARK";"DK1";"AVERAGE";"Money_per_MWh";46.673934051856;"GH2E"
"2045";"DENMARK";"DK2";"AVERAGE";"Money_per_MWh";46.847878110198;"GH2E"
"2045";"FINLAND";"FIN";"AVERAGE";"Money_per_MWh";47.6622576430792;"GH2E"
"2045";"GERMANY";"DE4-E";"AVERAGE";"Money_per_MWh";46.9468971831845;"GH2E"
"2045";"GERMANY";"DE4-N";"AVERAGE";"Money_per_MWh";47.0270092515718;"GH2E"
"2045";"GERMANY";"DE4-S";"AVERAGE";"Money_per_MWh";47.0094116356382;"GH2E"
"2045";"GERMANY";"DE4-W";"AVERAGE";"Money_per_MWh";47.3814138857674;"GH2E"
"2045";"NETHERLANDS";"NL";"AVERAGE";"Money_per_MWh";47.416168005032;"GH2E"
"2045";"SWEDEN";"SE1";"AVERAGE";"Money_per_MWh";47.253033692679;"GH2E"
"2045";"SWEDEN";"SE2";"AVERAGE";"Money_per_MWh";47.0323236245697;"GH2E"
"2045";"SWEDEN";"SE3";"AVERAGE";"Money_per_MWh";46.8940829461979;"GH2E"
"2045";"SWEDEN";"SE4";"AVERAGE";"Money_per_MWh";46.9258224354701;"GH2E"
"2045";"UNITED_KINGDOM";"UK";"AVERAGE";"Money_per_MWh";46.4859500244591;"GH2E"
"2045";"ESTONIA";"EE";"AVERAGE";"Money_per_MWh";46.1233053859622;"GH2E"
"2045";"LATVIA";"LV";"AVERAGE";"Money_per_MWh";45.7445107145702;"GH2E"
"2045";"LITHUANIA";"LT";"AVERAGE";"Money_per_MWh";45.6705976220845;"GH2E"
"2045";"POLAND";"PL";"AVERAGE";"Money_per_MWh";46.458261996595;"GH2E"
"2045";"BELGIUM";"BE";"AVERAGE";"Money_per_MWh";47.1562066946509;"GH2E"
"2045";"FRANCE";"FR";"AVERAGE";"Money_per_MWh";46.2844734783506;"GH2E"
