"Y";"C";"IRRRE";"IRRRI";"VARIABLE_CATEGORY";"UNITS";"value";"Scenario"
"2020";"SWEDEN";"SE1";"FIN";"EXOGENOUS";"GW";1.5;"GH2E"
"2020";"SWEDEN";"SE1";"NO4";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SWEDEN";"SE1";"SE2";"EXOGENOUS";"GW";3.3;"GH2E"
"2020";"SWEDEN";"SE2";"NO3";"EXOGENOUS";"GW";1;"GH2E"
"2020";"SWEDEN";"SE2";"NO4";"EXOGENOUS";"GW";0.3;"GH2E"
"2020";"SWEDEN";"SE2";"SE1";"EXOGENOUS";"GW";3.3;"GH2E"
"2020";"SWEDEN";"SE2";"SE3";"EXOGENOUS";"GW";7.8;"GH2E"
"2020";"SWEDEN";"SE3";"DK1";"EXOGENOUS";"GW";0.68;"GH2E"
"2020";"SWEDEN";"SE3";"FIN";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"SWEDEN";"SE3";"NO1";"EXOGENOUS";"GW";2.095;"GH2E"
"2020";"SWEDEN";"SE3";"SE2";"EXOGENOUS";"GW";7.8;"GH2E"
"2020";"SWEDEN";"SE3";"SE4";"EXOGENOUS";"GW";6.5;"GH2E"
"2020";"SWEDEN";"SE4";"DK2";"EXOGENOUS";"GW";1.3;"GH2E"
"2020";"SWEDEN";"SE4";"DE4-N";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"SWEDEN";"SE4";"SE3";"EXOGENOUS";"GW";3.2;"GH2E"
"2020";"SWEDEN";"SE4";"LT";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"SWEDEN";"SE4";"PL";"EXOGENOUS";"GW";0.6;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"NL";"EXOGENOUS";"GW";1;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"BE";"EXOGENOUS";"GW";1;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"FR";"EXOGENOUS";"GW";4;"GH2E"
"2020";"UNITED_KINGDOM";"UK";"IE";"EXOGENOUS";"GW";0.5;"GH2E"
"2020";"ESTONIA";"EE";"FIN";"EXOGENOUS";"GW";1.016;"GH2E"
"2020";"ESTONIA";"EE";"LV";"EXOGENOUS";"GW";1;"GH2E"
"2020";"LATVIA";"LV";"EE";"EXOGENOUS";"GW";0.879;"GH2E"
"2020";"LATVIA";"LV";"LT";"EXOGENOUS";"GW";1.5;"GH2E"
"2020";"LITHUANIA";"LT";"SE4";"EXOGENOUS";"GW";0.7;"GH2E"
"2020";"LITHUANIA";"LT";"LV";"EXOGENOUS";"GW";1.2;"GH2E"
"2020";"LITHUANIA";"LT";"PL";"EXOGENOUS";"GW";0.5;"GH2E"
